text,span1_index,span2_index,span1_text,span2_text,idx,label
Fred watched TV while George went out to buy groceries. After an hour he got back.,0,13,Fred,he,18,0
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",14,36,Arthur and Celeste,them,19,1
"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval",1,8,Chester,he,20,1
Jane gave Joan candy because she wasn't hungry.,2,5,Joan,she,21,0
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",5,10,Dad,he,22,0
The large ball crashed right through the table because it was made of steel.,6,9,the table,it,23,0
"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.",16,34,Larry's father,his,24,0
"Well satisfied with his purchases and feeling very elegant indeed, Babar goes to the photographer to have his picture taken.",13,3,the photographer,his,25,0
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",5,14,Dad,him,26,1
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",16,39,Edward,his,27,0
"The path to the lake was blocked, so we couldn't use it .",3,11,the lake,it,28,0
"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make more of them .",3,24,the oatmeal cookies,them,29,1
"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.",1,20,stable,it,30,1
"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",7,19,faces,they,31,0
"Joe Joe's uncle can still beat him at tennis, even though he is 30 years older.",0,11,Joe,he,32,0
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful",10,39,Mark,his,33,0
"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .",7,31,faces,them,34,0
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",3,35,Chester,he,35,0
"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .",26,31,things,them,36,1
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",8,15,Amy's parents,they,37,1
Men had the right to keep their sons working for them until they were 21 years of age.,0,12,Men,they,38,0
"The path to the lake was blocked, so we couldn't reach it .",0,11,The path,it,39,0
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",0,35,Mr. Moncrieff,he,40,0
Fred watched TV while George went out to buy groceries. After an hour he got up.,0,13,Fred,he,41,1
"When they had eventually calmed down a bit , and had gotten home, Mr. Farley put the magic pebble in an iron safe . Some day they might want to use it , but really for now, what more could they wish for?",22,30,safe,it,42,0
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",2,10,Larry,he,43,1
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",4,19,the elephants,their,44,0
"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.",10,17,lemons,they,45,1
Jane gave Joan candy because she was hungry.,2,5,Joan,she,46,1
"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval",5,14,Uncle Vernon,his,47,1
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",0,26,Bernard,he,48,1
"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .",5,31,children,them,49,0
Bill passed the half-empty plate to John because he was full.,6,8,John,he,50,0
"Patting her back, the woman smiled at the girl .",3,1,the woman,her,51,0
Fred watched TV while George went out to buy groceries. After an hour he got up.,4,13,George,he,52,0
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",2,31,Dick,he,53,0
Jane gave Joan candy because she wasn't hungry.,0,5,Jane,she,54,1
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .",11,50,button,it,55,0
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",8,15,Amy's parents,they,56,0
The storekeepers stayed in town to run their stores and lived in the rooms behind them .,8,15,stores,them,57,1
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",6,10,the government official,he,58,0
The large ball crashed right through the table because it was made of styrofoam.,0,9,The large ball,it,59,0
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",0,15,Sam and Amy,they,60,0
"Then Dad figured out how much the man owed the store; to that he added the man 's board-bill at the cook-shanty. He subtracted that amount from the man 's wages, and made out his check",6,22,the man,He,61,0
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",3,39,Chester,his,62,0
"Joe Joe's uncle can still beat him at tennis, even though he is 30 years older.",1,11,Joe's uncle,he,63,1
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",12,31,the master,he,64,1
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",4,36,the elephants,them,65,0
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",12,48,the master,he,66,0
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",0,10,Bernard,he,67,1
"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.",16,20,yard,it,68,0
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",2,14,Larry,him,69,0
"Joe Joe's uncle can still beat him at tennis, even though he is 30 years younger.",1,11,Joe's uncle,he,70,0
"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.",12,20,window,it,71,0
The large ball crashed right through the table because it was made of steel.,0,9,The large ball,it,72,1
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",12,20,the master,he,73,1
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",13,30,Mama,she,74,0
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",2,44,Dick,him,75,1
Fred watched TV while George went out to buy groceries. After an hour he got back.,4,13,George,he,76,1
"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",5,19,children,they,77,1
"Joe Joe's uncle can still beat him at tennis, even though he is 30 years younger.",0,11,Joe,he,78,1
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",12,44,the master,him,79,0
"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval",5,8,Uncle Vernon,he,80,0
"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make fewer of them .",3,24,the oatmeal cookies,them,81,0
"While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.",1,21,Nancy,her,82,0
"Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy,",0,39,Mr. Taylor,his,83,0
The storekeepers stayed in town to run their stores and lived in the rooms behind them .,13,15,rooms,them,84,0
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",6,26,the government official,he,85,0
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",2,20,Dick,he,86,0
"The path to the lake was blocked, so we couldn't reach it .",3,11,the lake,it,87,1
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .",6,47,the government official,him,88,0
"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make more of them .",12,24,the chocolate chip cookies,them,89,0
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .",28,50,album,it,90,1
"Well satisfied with his purchases and feeling very elegant indeed, Babar goes to the photographer to have his picture taken.",13,17,the photographer,his,91,0
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful",10,29,Mark,He,92,1
"One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.",2,20,Dick,he,93,0
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful",4,29,Mr. Schmidt,He,94,0
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",19,19,their mothers,their,95,0
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,0,12,The customer,He,96,1
"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.",13,17,lemon trees,they,97,0
The storekeepers stayed in town to run their stores and lived in the rooms behind them .,1,15,storekeepers,them,98,0
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful",4,39,Mr. Schmidt,his,99,1
Bill passed the half-empty plate to John because he was hungry.,0,8,Bill,he,100,0
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",14,19,Arthur and Celeste,their,101,1
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",5,20,Dad,his,102,1
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",0,15,Sam and Amy,they,103,1
