Category,Sub-Category,Item,Description,Technical Details,Input,Output,Dependencies,File/Location,Status
Frontend,UI Layout,Chat Panel,"Left main panel for conversation","Split-panel left side (1.15fr). Chat messages: user (cyan tint, right-aligned), assistant (purple tint, left-aligned), system (centered, muted). Scrollable chat area with composer at bottom.",N/A,N/A,N/A,frontend/index.html,Active
Frontend,UI Layout,Pipeline Panel,"Right panel showing pipeline + artifacts","Split-panel right side (0.85fr). Top: 5-step pipeline status cards (pending/running/done/error/skipped). Bottom: tabbed artifact viewer with 6 tabs.",N/A,N/A,N/A,frontend/index.html,Active
Frontend,UI Layout,Composer,"Input area for user prompts","Textarea (3 rows, 5000 char max) with character counter. Submit via 'Run' button or Ctrl+Enter. Disabled during pipeline execution.",N/A,N/A,N/A,frontend/index.html,Active
Frontend,UI Features,Real-time Polling,"Pipeline status updates every 1.2 seconds","setInterval-based polling of /api/status/<job_id>. Updates pipeline step cards (border color changes: cyan=running, green=done, red=error). Auto-stops on done/error.",N/A,N/A,Fetch API,frontend/app.js,Active
Frontend,UI Features,Tabbed Artifact Viewer,"6 tabs for viewing generated artifacts","Tabs: Report (output.md), agent.py, main.py, requirements.txt, README.md, Spec JSON. Content displayed in monospace pre blocks. Auto-populated on pipeline completion.",N/A,N/A,N/A,frontend/app.js,Active
Frontend,UI Features,Prompt History,"Clickable history items in sidebar","Loaded from /api/history on init. Last 50 prompts shown. Click to auto-fill prompt textarea. Timestamps shown in locale format.",N/A,N/A,Fetch API,frontend/app.js,Active
Frontend,UI Features,Toast Notifications,"Ephemeral notification popups","Bottom-right positioned. 3 types: info (cyan border), error (red border), success (green border). Auto-dismiss after 4.5 seconds.",N/A,N/A,N/A,frontend/app.js,Active
Frontend,UI Features,Route Badge,"Shows current classification route","Displayed in chat panel header. Shows 'Conversational' or 'Agent Building' badge based on perspective agent classification.",N/A,N/A,N/A,frontend/app.js,Active
Frontend,Design System,Color Palette,"Dark mode with accent colors","Background: #0b0f17, Panel: #0f1524, Text: #e6eaf2, Accent cyan: #6ee7ff, Accent purple: #a78bfa, Good: #22c55e, Warn: #f59e0b, Bad: #ef4444",N/A,N/A,N/A,frontend/style.css,Active
Frontend,Design System,Typography,"Inter (sans-serif) + JetBrains Mono (monospace)","Inter for UI text (weights 300-700), JetBrains Mono for code display (weights 300-600). Font size: 11-14px. Line height: 1.35-1.55.",N/A,N/A,Google Fonts CDN,frontend/style.css,Active
Frontend,Design System,Visual Effects,"Glassmorphism + radial gradients","Body: dual radial gradients (cyan at 15% 10%, purple at 75% 0%). Sidebar: linear gradient overlay. Topbar: backdrop-filter blur(10px). Panels: gradient backgrounds with glass-like transparency.",N/A,N/A,N/A,frontend/style.css,Active
Project Setup,Installation,Step 1,"Clone the repository","git clone <repo-url> && cd 'responsible AI newww'",N/A,N/A,git,N/A,Required
Project Setup,Installation,Step 2,"Create Python virtual environment","python -m venv venv && venv\Scripts\activate (Windows)",N/A,N/A,Python 3.x,N/A,Required
Project Setup,Installation,Step 3,"Install dependencies","pip install -r requirements.txt (flask, flask-cors, groq, python-dotenv)",N/A,N/A,pip,requirements.txt,Required
Project Setup,Installation,Step 4,"Configure environment variables","Copy .env.example to .env and add GROQ_API_KEY value from Groq Cloud dashboard.",N/A,N/A,N/A,.env,Required
Project Setup,Running,CLI Mode,"Run pipeline via command line","python main.py --input 'Build me an agent that ...' OR python main.py (interactive). Options: --skip-on-failure, --start-from <1-5>.",N/A,N/A,All agent scripts,main.py,Active
Project Setup,Running,Web Mode,"Run Flask server with frontend UI","python server.py → opens at http://localhost:5000. Frontend auto-loads. Enter prompts in chat, watch pipeline execute in real-time.",N/A,N/A,Flask + frontend/,server.py,Active
File Inventory,Root Files,main.py,"Pipeline orchestrator (CLI)",572 lines | 23690 bytes | Runs 5 agents sequentially,N/A,N/A,N/A,"d:\responsible AI newww\main.py",Active
File Inventory,Root Files,perspective_agent.py,"Step 1 — Intent classifier",352 lines | 13917 bytes | Classifies input and routes,N/A,N/A,N/A,"d:\responsible AI newww\perspective_agent.py",Active
File Inventory,Root Files,inputextractor.py,"Step 2 — Spec extractor",344 lines | 8795 bytes | Extracts structured agent config,N/A,N/A,N/A,"d:\responsible AI newww\inputextractor.py",Active
File Inventory,Root Files,agentbuild.py,"Step 3 — Code generator",649 lines | 26778 bytes | Generates 4-file Python project,N/A,N/A,N/A,"d:\responsible AI newww\agentbuild.py",Active
File Inventory,Root Files,verifier.py,"Step 4 — Code verifier",143 lines | 4642 bytes | AI-based correctness review,N/A,N/A,N/A,"d:\responsible AI newww\verifier.py",Active
File Inventory,Root Files,code_interface_agent.py,"Step 5 — Documentation generator",274 lines | 8225 bytes | Generates markdown report,N/A,N/A,N/A,"d:\responsible AI newww\code_interface_agent.py",Active
File Inventory,Root Files,groq_utils.py,"Shared Groq API utilities",103 lines | 2688 bytes | Centralized LLM client,N/A,N/A,N/A,"d:\responsible AI newww\groq_utils.py",Active
File Inventory,Root Files,server.py,"Flask web server",406 lines | 13131 bytes | REST API + static frontend,N/A,N/A,N/A,"d:\responsible AI newww\server.py",Active
File Inventory,Root Files,requirements.txt,"Python dependencies",5 lines | 64 bytes | flask/flask-cors/groq/python-dotenv,N/A,N/A,N/A,"d:\responsible AI newww\requirements.txt",Active
File Inventory,Root Files,.env.example,"Environment variable template",3 lines | 26 bytes | GROQ_API_KEY and GEMINI_API placeholders,N/A,N/A,N/A,"d:\responsible AI newww\.env.example",Active
File Inventory,Root Files,.gitignore,"Git ignore rules",35 lines | 393 bytes | Excludes .env/venv/__pycache__/node_modules,N/A,N/A,N/A,"d:\responsible AI newww\.gitignore",Active
